3DD409A0   00000000
BB282E05   3B7BF9DC
BB448396   3B2226CB
BB651881   BC28C8A0
3B1D23F0   39AA053C
3A2BCBE4   3A9D1270
3BB08FA4   BBE6065B
BC379E4E   BBB7D6B8
BBD9F0F1   3B900887
BC6B37F4   BADE9306
BA87F2D4   3BCAD096
3ABCA00C   BBBE557A
3BAEF0B6   BB2472D7
BB493A34   BA64811D
BC0326A6   BAC2676C
BBB93331   BAA4EEA2
3BF114C2   3BB4EA98
367A6700   B8E37F40
3C1269A0   3C23ADFD
3ACB2E52   3AAD71BB
BB2CA77E   BB9A9F54
3BF695BC   BBD4560A
3B4D549F   3AE276C0
BB88593D   3B815457
3BBE0B22   BAC7D704
3C55C33C   3B01AC8A
3BA92BDD   BB8CAE5D
3B186EB8   BB38B4C6
BAC8C0E4   BB9E2560
3B82778F   3B15B0AE
BC0B8866   3B9D4326
3BCD4926   BBBA5102
3BC778FA   3C35965F
3BE4D092   BAE82D6C
39F44B34   3AC75F2C
BB508BC8   3B19DB14
39978308   3B02AB3E
3ADE14EC   3B61D400
BBAA900A   3BED41E2
3AA27A90   3BF3291E
3B83B155   BB2E60B4
BB3D9632   BB89EE2A
39B5CF50   3B7A877A
3C0505C4   B9287180
BA0850E0   3947ECA0
B998C87C   3BE36D4A
3B4C7012   BC41D424
BC126BB7   38B5A790
B9B90000   BC387FBC
BC3CD4BB   BB92E4E0
3C242CB6   391C9230
BB4BAE60   BAC995BF
BAF82960   3AA3B7A2
3B1D74EE   BBA93DD0
3B7C1A69   3B5392DD
3C1F6021   BC227B6A
BAE2358C   3B9107EA
3AFB4ACC   BBACD340
3BEF4507   BBA39E8E
BAD78128   BC9B88D8
BAC9771C   38EB1E10
3C108337   BBD6D7D2
3C083E87   BBD6ED77
3BB2422C   3BA8F010
BBDCFAEA   3B2AB606
3AED6F54   3B05CA34
BC2234E8   3BF0A78A
3AB40D60   392A57F0
3C02A768   BBD19B88
B9729BA0   3A217BD7
BC68D314   3BD9B89C
BB0FC2EA   3A45F824
3B0DAE6E   BA379A98
3BC7E658   3A80D2B0
3BD41D14   BAB0C74C
BB7C6778   3A309422
BBB75B78   3BA213C1
BBEC93F2   BB9F26D3
3C11A23C   3B87E20F
3B81F565   3A4DC70C
BB8F6635   BB9C98A8
3ACA3170   BB82806C
3B9AB949   B9909B78
3B8AF07D   BBA45CB4
3C16F0CC   BBB0193C
3A94AFA6   BC01EF30
3C06241E   3BA35802
BC22A587   380BFC00
3B19C679   3BCE8D5A
BB5473C5   3B1BB5D6
BBD65D8E   BB71156C
BAF2C64C   3B723F09
3B152583   B98204B0
