3902EECC   382F8300
38FF0DC0   383F3900
38F84C40   38477980
38FB1420   380E6480
3901DF7C   38147480
3903B260   381C0480
390F0780   38021CA0
3904E668   37A5AD00
38F85A00   37BB0300
38D86F20   37720280
38D32D40   37B38780
38DE61B0   377B8D80
38F0C400   376BED00
38ECB5A0   3743EC00
38DCAE20   36DB8C00
38D240C0   362E1C00
38E2E530   374A3400
38E5F7C0   37467200
38F72620   37E5C100
38FD4BA0   37F8C280
38FE18C0   37C0AAC0
390D0F60   37989A00
39123300   37B40500
390D42E8   37CD5F00
39173AE0   37D18340
39290280   3808C680
3933B710   37F7C2C0
393A59E0   37E2D500
393D1030   37AC3400
3943C998   37CF9980
3939C420   37E25680
3946D300   37BD84C0
394CB910   38209400
39595B20   38238700
395C89A0   382C0840
395AD9A0   383299C0
395DBFF0   383D6180
3961E970   38520080
395BDC40   386E4F40
395DE650   388B6B80
3967D940   3888C380
3969E394   38788F40
396CB5B0   3886BC60
397B2C60   388DD200
397ED088   388E8060
39800238   38A07600
3986CFD0   38860BC0
3983935A   387E7BC0
39883100   3845FEC0
39846520   381C3900
398D4198   382E1800
398E5628   38214380
398FACB0   382478B0
39952D88   380E9B00
3999F2BC   38255D00
39A55D7C   3803D200
39A6B420   3816EF00
39AC84E8   37FECE00
39B5D798   37E44A00
39BCADF0   366BAD00
39BFB440   36306E00
39CADA50   B60D6C00
39D5EF50   B6EEF800
39DCFAB0   3549E000
39DD1C10   353EE000
39E2F300   366A1800
39E08420   3705B080
39E6EC12   370DD300
39F32F58   3679F800
39F923E0   36899800
39F54F3C   36CE3C00
39FA9402   36CBA000
3A01A3D0   36CBB000
3A0746D4   3723DD00
3A0D877E   37374A00
3A109480   372F7E00
3A12E32C   3774EB00
3A160058   36D9D400
3A1D9010   37856C00
3A245230   37A48540
3A297394   3763DC00
3A30CE48   373C8B00
3A3947A2   377D5000
3A42AD88   37653500
3A4E53B0   37733800
3A586CDA   37258600
3A642CA0   37CF6300
3A6BA050   37E96380
3A773EB8   383DD500
3A81505A   3873A000
3A876B16   3888BB00
3A8E8EAA   38B5D410
3A9753F3   38E64120
3A9FC1C4   39104F80
3AACE73E   3939ADA0
3AB99502   39670F80
3AC43CC1   3999762E
3AD139F7   39C2D908
3ADF52CE   39F3CA80
3AEEC39A   3A190E38
3AFF311F   3A3ACB3F
3B075FFD   3A6D80EA
3B0EBEF8   3A944350
3B1549F4   3AB7DE50
3B1AD122   3AE314C0
3B1D21C6   3B0BEB66
3B1AED7B   3B29F55E
3B120452   3B4BCEFE
3B009B4B   3B70E02C
3AC8D0DA   3B8B94D3
3A6860F0   3B9D05CA
3704AF00   3BAB892A
BA90E050   3BB31795
BB1E8C62   3BB03878
BB7ADD04   3B9FA536
BBAA11FE   3B7BDB35
