3DEACAF4   3F718B16
3F10D2A8   3F180D7F
3F6FA256   3E8B7288
3F783257   BEE645AB
3EF91C1D   BF61C5FC
BD772180   BF82BFF2
BF32E6B6   BF489401
BF79B3FF   BE2C48C0
BF5F9C7C   3ED791A8
BEDB5682   3F6702C0
3E7DE14E   3F73B746
3F42E26C   3F1C1AA2
3F81B3A9   3CC31650
3F4EDABC   BF1F339C
3E89D80A   BF769C46
BEBA07BC   BF720FD8
BF609DA0   BF0201F4
BF79DB96   3E105716
BF3056FE   3F34BD18
BDB2A0C0   3F7F158E
3F0E97CC   3F51AAF6
3F716DDC   3E9E54AA
3F736475   BEB3BE4F
3F041A7D   BF5E6576
BDFB515C   BF7DDC67
BF36F650   BF35A503
BF7FCC64   BDBDB150
BF5281D7   3F0BD401
BE9B4E18   3F71CB43
3EBFA6CC   3F6DD813
3F5FB1A9   3EF43576
3F7C09D0   BE2EA445
3F29F39D   BF438350
3CD45580   BF80BB09
BF1A8E7B   BF4B3798
BF79836E   BE7010AD
BF64A704   3EE53FDA
BECC08CA   3F67CAC6
3E89CA57   3F756FA7
3F54D23A   3F1018C6
3F7E8E1E   BDCEBB84
3F353717   BF3572D0
3DB6E068   BF80AD66
BF13B7F8   BF51D91E
BF75CEF2   BE853D3D
BF67EB7F   3ED7CFC3
BED1D4C0   3F6903DE
3E8CE680   3F7423DB
3F549957   3F0E40CE
3F7FB97E   BDF85798
3F2D776B   BF3CDB4D
3D3456B8   BF800564
BF1EDD04   BF4A7F1F
BF7B3F49   BE40D5F8
BF5CB276   3EFC6BBD
BEA96482   3F71111F
3EC046D6   3F6D4DAC
3F637F83   3EE72DDD
3F79056B   BE74BB8C
3F13A414   BF534DF3
BDE19CEA   BF7ED615
BF3B9EB0   BF2D828E
BF801FEE   BCC1A460
BF425119   3F25DCF5
BE0E43C2   3F7BE741
3F0D1816   3F556608
3F789B72   3E815AE2
3F63F1D4   BEE96263
3EBBC805   BF6E9C2C
BEB37D26   BF7115A2
BF63109C   BEEC0E3C
BF76CC7F   3E7D233A
BF0D11C0   3F554515
3E212C8A   3F7CB0FC
3F472B0C   3F1F9C57
3F7FDED2   BD706A18
3F335206   BF389D1E
3CF39ED0   BF801A74
BF262170   BF425D17
BF7E6FEC   BDF4C1AA
BF4E7844   3F16B297
BE44F82E   3F79EDAE
3F060857   3F59E69F
3F77A966   3E8785EE
3F62E698   BEEDB215
3EAC4A83   BF71556C
BECC73CB   BF6BB5E5
BF6B3F57   BEC9BE0C
BF6FA304   3EADDFE0
BEE60E96   3F644CEA
3E954960   3F74F8BD
3F5E52A5   3EFC2339
3F78DC14   BE737276
3F0AAD9C   BF588995
BE4592CA   BF7B8CCE
BF506953   BF13C2EB
BF7D2276   3E16AEA0
BF1B38F6   3F4B5B72
3DED4C26   3F7D6326
3F45A2C2   3F226BD0
3F7FFB35   BDAB83E8
3F282A2E   BF41935F
BD586D50   BF7F93CF
BF3C5EA5   BF2DEE19
BF7FDBF9   3D077560
BF2FDA5D   3F38B496
3C7BDF80   3F7F787A
3F376991   3F333694
3F8014AC   BBFBB000
3F352304   BF34FA59
3BA98FE0   BF805AC6
BF347488   BF3612EA
BF7F43E4   BBA8FC80
BF359E75   3F33A194
37D40000   3F800CA2
3F35F4DD   3F33D348
3F7FDF1D   BBFA53C0
3F3360CA   BF37B3D1
BCA98FB8   BF804938
BF39B996   BF2FA4E8
BF7F7202   3D11D620
BF2BD002   3F3DC806
3D84B098   3F7F0C82
3F420A74   3F265B12
3F7F83FA   BDB91860
3F20F2B5   BF48015E
BDFC4CB0   BF7DF8AD
BF4C45B4   BF1A090B
BF7CC7B4   3E2459EC
BF104E8C   3F52E7F8
3E51ADB9   3F79E8B4
3F59B3D4   3F072DBE
3F7844BE   BE822AB1
3EF76184   BF603B22
BE99EA40   BF742D13
BF66B138   BEDF39E2
BF6E9C9C   3EB7BE3A
BEC0B5E2   3F6C58A2
3ED588D4   3F689F5E
3F738C1E   3EA101FE
3F60AF00   BEF5ECBA
3E7F5B16   BF77FFC4
BF0A801B   BF57CD8C
BF7C1292   BE30EAAD
BF4AF5CC   3F1ACBED
BDBE3514   3F7E9A45
3F2C4CBE   3F3DCBC6
3F800F0B   3B7AC540
3F2E0A8A   BF3BD040
BDAA1F4C   BF7F9A3E
BF4B7AAC   BF1BA41A
BF7B319F   3E384A40
BF069B7D   3F59366E
3E8F9242   3F75EB1B
3F66EEB8   3EDD7574
3F6CC93A   BEC281D1
3EAC55B7   BF71888A
BEF602B4   BF60F610
BF790992   BE65F622
BF507148   3F13A5B0
BDDBD040   3F7E8DBA
3F2D0458   3F3CD7A3
3F7FE0F9   BC8FFA80
3F266585   BF42F6B2
BE13DF9D   BF7DD8D7
BF56EA44   BF0AC8CA
BF758D54   3E8C7BFB
BED8B6BA   3F67CC7C
3ED15D45   3F69C62B
3F75017A   3E93DA82
3F58B5B5   BF0891F7
3E18CD8F   BF7DB002
BF276633   BF41CA7D
BF7F70D6   3B3EE800
BF25B61A   3F42BD8D
3E250530   3F7CCC82
3F5B43C4   3F041D84
3F72D588   BEA22900
3EBF165B   BF6DFF32
BEF0C0A8   BF6242C4
BF79E6F6   BE56153A
BF49D997   3F1CB4CA
BD12EA40   3F7FE9E0
3F3ED03F   3F2AD8CA
3F7D4F4D   BE12E61A
3F066A55   BF5A35C2
BEA4A23D   BF72D3F3
BF6F1259   BEB5CE7D
BF5E1605   3EFC6204
BE2ECE2A   3F7C2B2F
3F27C52D   3F41B03E
3F7FEF1E   BCDF7190
3F1D1640   BF4A4425
BE66215B   BF79D4A4
BF66027A   BEE0BEAB
BF67A0BA   3ED76AF3
BE783DD0   3F781400
3F1AC88E   3F4C4359
3F800DB9   3CE6E150
3F262FED   BF42B866
BE3F5430   BF7BB191
BF62AD9D   BEEE8660
BF69DB83   3ECE4CB7
BE819594   3F773502
3F19FBE6   3F4CBE64
3F802BB8   3CB924F0
3F232B02   BF455226
BE56FB38   BF7A42FE
BF665038   BEE00FA4
BF65991F   3EE1A64A
BE507A34   3F7A2BA2
3F259534   3F433A08
3F801F25   BD354160
3F13A8A9   BF5168AC
BE960340   BF7492A6
BF6F9733   BEB3DD62
BF590006   3F07CA78
BDBDC99A   3F7E9F15
3F3BD3FE   3F2DB42A
3F7C945A   BE3023E0
3EEB393E   BF63DBE9
BEDC76E6   BF66E26D
BF7A684F   BE4E149E
BF3FEA9F   3F295BD0
3DA4CE08   3F7F2DB5
3F585A22   3F089FB4
3F6F6EEE   BEB616AC
3E8C993C   BF769ACC
BF1BD6F8   BF4B21FA
BF7F8127   3C805DA0
BF14F052   3F4FEAB6
3E9EB4BC   3F7397CE
3F7338C0   3EA09ECD
3F50DAF4   BF140B06
3C8AD620   BF801342
BF4C7072   BF1A4FD1
BF748E90   3E95229C
BEA6FD55   3F7192EA
3F12ECCF   3F51CFA8
3F803172   3C654150
3F18BD48   BF4D89DD
BE9A7054   BF73EF42
BF736318   BE9EBEC5
BF4DBC2B   3F1838D8
3C948F82   3F7FAA04
3F530EF0   3F10D212
3F70B4C9   BEB0D538
3E855578   BF777507
BF234DE7   BF44D100
BF7EE5C8   3DA0DE2C
BF01D4B9   3F5CA851
3ED575D5   3F68C210
3F7BCE37   3E37B752
3F360F08   BF343685
BE310AD8   BF7C7188
BF688156   BED5BBE0
BF5BC2FD   3F0269A5
BD8AA6A4   3F7F48E1
3F491E75   3F1EE9E8
3F74A43A   BE984B0D
3E96E9E7   BF748D5B
BF1F7123   BF48403E
BF7F405D   3D9DE4C8
BEFCC2F8   3F5E5FEF
3EE2ACEB   3F654DE8
3F7DE7FF   3E09FC99
3F2A55B2   BF3FAADE
BE809228   BF77C570
BF715127   BEA8AE46
BF4C2CC7   3F1A32CE
3D7D50EC   3F7FA321
3F5DC94D   3EFFE280
3F653CB0   BEE3FFD1
3DFA9888   BF7E4846
BF435B58   BF2598B7
BF752269   3E916116
BE92DB7C   3F74E68A
3F254E80   3F43B218
3F7E6175   BE0037F4
3EDEFCE6   BF668007
BF048A8E   BF5AC47C
BF7FD1FC   BCE4ABB0
BF1009B9   3F53A2BA
3EC8ED54   3F6B5722
3F7C6FB4   3E2A6585
3F2C1220   BF3DF66E
BE8820C6   BF76FCEB
BF7499EE   BE9521D2
BF41C7E9   3F26B90C
3E170ECF   3F7D46A1
3F6ACECA   3ECD9226
3F53BCD2   BF10082C
BD15E170   BF7FB932
BF5DFF63   BEFEEA8E
BF613F10   3EF32B05
BD732808   3F7F59F3
3F511B68   3F139782
3F6BD4A6   BEC8D221
3E17A7A8   BF7D726E
BF43E542   BF247981
BF726720   3EA24856
BE63B804   3F799631
3F380D78   3F325232
3F77C70D   BE818C40
3E925AE0   BF754085
BF2C33DA   BF3D6FCC
BF7AFA40   3E497926
BEAB15B3   3F7111B3
3F22E37E   3F4559E8
3F7D56F6   BE1A97C2
3EC05F8E   BF6D9461
BF1B1F8F   BF4B7B49
BF7DDD1E   3DEF0464
BECE794A   3F6A2DC6
3F160110   3F4FC3EA
3F7EFDB0   BDC2EB74
3ED7C624   BF6815A9
BF1213B0   BF523051
BF7F21D2   3DA8BF90
BEDA7BA0   3F675D8C
3F11959F   3F526A37
3F7F5735   BDA6BFC0
3EDA4064   BF67EDC0
BF12FACA   BF518A73
BF7E83FF   3DBDB2C0
BED2D6E6   3F691E1D
3F171858   3F4EF9E8
3F7E8554   BDED1CF4
3EC6D540   BF6BD583
BF1C8C0C   BF4A5F50
BF7D2D3B   3E1740CE
