3DEACAF4   BF718B16
BF65E14D   BEF1E0D3
BE8C0CC1   3F57D7D9
3F6E6D10   BE1EBC4B
BF012134   BF706306
BF30DCAD   3F41EF85
3F76702F   3E982C32
BD86E294   BF858010
BF6E5322   3EBFCB3C
3F2A08C0   3F32EBCB
3EE2BDEC   BF635318
BF7B2082   BE2039DA
3E4191BA   3F74FDD8
3F59CE82   BF09424D
BF4C2E00   BF24A1BE
BEA4BA2F   3F734E26
3F80A324   BD4046D0
BEC14FA1   BF714824
BF4065ED   3F257782
3F5BA19D   3EF47EFF
3E35477A   BF7BA3B0
BF7C6EFB   3E0CFDB8
3EEC314C   3F606725
3F2ECE06   BF3E7DED
BF6D524F   BED2B8D2
BD9C94EC   3F7F33ED
3F7785F6   BE88B897
BF0F2186   BF55F768
BF1B3D64   3F484142
3F6FDCA2   3EA181A0
3BDD4EC0   BF802E64
BF73B1F0   3E9ABF58
3F18B215   3F4C952E
3F124074   BF55353D
BF77D302   BE91ADFE
3D2757F8   3F7F189E
3F6EDD42   BEB7D8B7
BF2013D8   BF481711
BF0C206E   3F536FF0
3F755CB1   3E853D63
BD30FD4C   BF806486
BF70EAD4   3EAFD9D8
3F1F24B8   3F488E07
3F0E9151   BF5710B8
BF77140D   BE8F1F1A
3CEE01D0   3F7E8F5F
3F70BAB1   BEA9D19F
BF17B8B6   BF4E1251
BF174CF5   3F4C8749
3F718E4E   3EA5014A
3CF89970   BF80BBCD
BF77D3EB   3E87803F
3F0AF0B8   3F57030C
3F24E398   BF453FB8
BF6B739E   BECA9712
BDE16798   3F7CB671
3F7AB68E   BE3B5F10
BEE809BE   BF647DE4
BF398915   3F2F9CF8
3F5E991C   3EFCE180
3E6857EC   BF7B1177
BF803461   3D6C0834
3EAE93CC   3F700445
3F4E0945   BF17FBA2
BF4A4DDC   BF1C9B3F
BEBC01A8   3F6C83CE
3F7E4464   3DC0B621
BE39B81C   BF7CBCCB
BF65E8FC   3EE2F5C3
3F2D26A4   3F3CBDCC
3F0680EA   BF5B1CB5
BF765408   BE8D9161
BBA24060   3F7EC26C
3F763ABC   BE87755C
BF022F3A   BF5C8669
BF31CF8C   3F375D18
3F610304   3EF40CEE
3E6A4982   BF7A9232
BF8040ED   3D0DB580
3E98C087   3F73E44A
3F57C670   BF09D75C
BF3BF9CC   BF2D9FCC
BEEE5010   3F614223
3F791134   3E63B437
BCFF2590   BF80560A
BF75F2F5   3E90F1F6
3F054C0F   3F5AA00A
3F3220DC   BF38F0A2
BF5ECB14   BEFD3F0E
BE85573B   3F7617BE
3F7F563E   3C4BD1A0
BE6C4811   BF794804
BF630B5C   3EEB905C
3F2A9D25   3F3ECD2D
3F0FDF45   BF54FCF7
BF70F0D5   BEB0C07F
BDD862AC   3F7E0B80
3F7D4503   BE0C6B3E
BEBB093A   BF6E46D5
BF5122DE   3F126416
3F403A41   3F28696C
3EEE6693   BF6371BA
BF78C2E9   BE7CD5DC
BC364EC0   3F7FE2A9
3F79BF56   BE64610E
BEE063B4   BF664B76
BF4620CC   3F20D2D4
